valor_original,valor_normalizado
Communications,Communications
Earth Observation,Earth Observation
Earth Observation/Technology Development,Earth Observation
Earth Science,Earth Observation
Navigation/Global Positioning,Navigation
Navigation/Regional Positioning,Navigation
No UCS match,Other
Space Observation,Earth Observation
Space Science,Science
Technology Demonstration,Technology
Technology Development,Technology
